Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Fyensgade, 9000 Aalborg, Aalborg  - 4. sal",5.795 kr.,900 kr.,60 m²,2,4.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Når man træder ind i denne fine lejlighed, kommer man ind i entreen, hvor der er plads til opbevaring af sæsonens overtøj og sko. I forbindelse med entreen finder man en fordelingsgangen som forbinder alle lejlighedens rum. Rummene er store og lyse og her er rig mulighed for at indrette som man har lyst til. Der findes både en større altan i soveværelset og en mindre altan i stuen, hvor der er rig mulighed for at nyde solens stråler.

Køkkenet er ligeledes stort og rummeligt. Her findes der også opvaskemaskine og en masse skabsplads. Badeværelset er ikke det største, men indeholder alt det nødvendige.",https://www.boligportal.dk/lejligheder/aalborg/60m2-2-vaer-id-5378511
"Hasserisgade, 9000 Aalborg, Aalborg  - 3. sal",5.795 kr.,900 kr.,64 m²,2,3.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Boligen er rummelig og har en fin plantegning, hvor der også er plads til en masse opbevaring.  Kommer man ind fra entreen har man at stort og velholdt køkken på højre hånd. Herinde finder du blandt andet opvaskemaskine og vaskesøjle. Videre ned af fordelingsgangen har vi til venstre en stor stue med god plads til både sofaarrengement og spiseplads. Her overfor findes der et mindre toilet, der har det nødvendige. I bunden af fordelingsgangen finder man det store soveværelse. Her er der ligeledes rig mulighed for at have en stor seng og der er god plads til opbevaring. Fra soveværelset er der indgang til lejlighedens badeværelse.",https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5378510
"Perikumvej, 9000 Aalborg, Aalborg  - Stuen",5.800 kr.,700 kr.,66 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Lækker lejlighed i børnevenlig kvarter. Nymalet lys og venlig, med nyslebne trægulve. 
Entre, køkken , stue og soveværelse, Altan med trægulv. Central beliggende med kort afstand til offentlig transport.",https://www.boligportal.dk/lejligheder/aalborg/66m2-2-vaer-id-1853477
"Harpevej, 2730 København, Herlev",8.500 kr.,1.000 kr.,50 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Recently painted apartment

1 bedroom (i.e 2 rooms) 50 sqm 

Amenities:
Kitchen
Bathroom 
Fridge/Freezer
Washing Machine and dryer

Public Transportation access: 
Less than 200 to Herlev station.
Less than 200m to Bus stop (S300, 30E, 155, 161) 

Rent: 8500kr. + Utility  (will get measure based on your consumption)

Deposit: 3 months 
Available from 2023-07-01

I appreciate if you write me in ""English"".
Thank you",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/50m2-2-vaer-id-5235577
"Vævergade, 2200 København, København N  - 4. sal",10.500 kr.,1.000 kr.,79 m²,3,4.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"OBS! Vi tager kun henvendelser seriøst, hvoraf det fremgår at annoncen er læst og hvor ansøgers profil på BoligPortalen er grundigt udfyldt, så vi kan finde det rette match. 

Lækker 3V på 79 kvm beliggende på 4. sal i charmende ejendom med hyggelig grøn gård. Gennemgribende renoveret i 2019.

Lejligheden er indrettet med lille entré i åben forbindelse med nyt køkken i hvide stilrene elementer, nyt stort badeværelse med separat brus, to soveværelser samt stue. Værelser samt stue med lækre nye massive trægulve. Flere ydervægge i lejligheden er bevaret i rå mursten, som bidrager med en skøn rustik atmosfære i den gamle charmerende ejendom. 

Køkken er fra Invita med alt i Siemens hårdehvidevare, bl.a. ovn med indbygget mikroovn og induktionskogeplader, samt 30 mm. egetræsbordplade. Desuden kombineret vaskemaskine/tørretumbler.

Lejligheden ligger i indre Nørrebros pulserende miljø, med supermarkeder, cafeer, butikker, skoler, institutioner, blomster, chokolade mv. Tæt på centrum, søer og parker.

Lejevilkår:
Leje pr. måned: 10.500,- 
Aconto varme: 700,-
Aconto vand: 300,-
Beboerrepræsentation: ca. 60,-
NB: Huslejen opkræves kvartalsvis forud.

Engangsbetaling ved lejekontraktens indgåelse:
1. termins leje (oktober, november og december)
Depositum: 3 måneder leje
Forudbetalt leje: 3 måneders leje
Engangsbeløb total: 97.680,-

Lejligheden lejes ikke ud til bofællesskaber, som delebolig eller lignende.
Lejligheden er et ikke-ryger lejemål og det er ikke tilladt at holde dyr.

Lejemålet er tidsubegrænset og lejer har 3 måneders opsigelse. 
Ved fraflytning flytter lejer 10 hverdage før lejemålets udløb, da udlejers professionelle håndværkere istandsætter lejemålet i denne periode. Lejemålet istandsættes i samme omfang som det blev overtaget i, og dette for lejers regning.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/79m2-3-vaer-id-4221541
"Nørrevoldgade, 5800 Nyborg  - Stuen",4.161 kr.,550 kr.,56 m²,3,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Charmerende lys 3. vær. med pænt køkken/entre, 2 stuer, soveværelse samt badeværelse, gulve af fyrtræsplanker i stuer og værelse - adgang til fælles have og fælles vaskeri. 

Beliggende i gadeplan. 

Rygning & Husdyr ikke tilladt!",https://www.boligportal.dk/lejligheder/nyborg/56m2-3-vaer-id-4530509
"Sundevedsgade, 1751 København, København V  - Stuen",15.500 kr.,850 kr.,68 m²,3,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,N/A,"På Sundevedsgade centralt på Vesterbro finder du denne flotte og næsten nybyggede lejlighed. Lejligheden er en del af projektet Tovesgaard. 

Lejligheden byder på et flot lyst køkkenalrum med udgang til en store terrasse der byder på flot udsigt over foreningens grønne gårdmiljø. Fra entreen er der adgang til lejlighedens to soveværelser og badeværelse med vaskesøjle. 

Bygningen byder på aflåst cykelkælder og depotrum til hver lejlighed. 

Her er der mulighed for at blive en del af charmerende Vesterbro i en moderne lejlighed og samtidig komme hurtigt ind til byen med Metroen.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/68m2-3-vaer-id-5378508
"Nørrevoldgade, 5800 Nyborg  - 1. sal",4.025 kr.,500 kr.,61 m²,1,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"I pæn ejendom, med ordnede forhold og meget rolige beboere, udlejes denne hyggelige lejlighed.

Lejligheden rummer, entre, lys stue, køkken,  soveværelse med klædeskabe samt badeværelse.
Der er nylagt parketgulv i hele lejligheden.
 
Fra lejligheden er der udsigt til Nyborg kirke og voldgraven, der adgang til fælles gårdhave og fælles vaskemaskiner samt tørrum.

Udlejes til rolige personer uden børn. 
Rygning og Husdyr ikke tilladt.",https://www.boligportal.dk/lejligheder/nyborg/61m2-1-vaer-id-1397835
"F. G. E. Rostrups Vej, 8000 Aarhus, Aarhus C  - Stuen",4.132 kr.,750 kr.,14 m²,1,Stuen,Værelse,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"Egen balkon til at nyde solen på.
Lejligheden deles  3 søde rolige lejere.
Værelset ligger  i en 104m luksuslejlighed.
Alt er nyt og flot.
Der er opvaskemaskine, vaskemaskine og tørretumbler. ect.
Værelset er  hyggelig. Ligger på 1 sal i en villa lejlighed i et roligt villa område i Århus Centrum
Der er stor og dejlig have .
Ud over lejen er der vand 275kr.varme 275 kr og internet 100 kr og stor tv pakke 75 kr. 
Lejligheden ligger i villa ved den Gl. By i Århus C.
En super smuk og lys lejlighed.

Lejligheden består af stort nyt stort køkken alrum

Alt er med hvidmalet filt på væggene og ny afhøvlede flotte gulve.
Nyt køkken med alle nye hvidevarer.

Det er adgang til stor ugenert have med egen afdeling, som kun tilhører denne lejlighed",https://www.boligportal.dk/v%C3%A6relser/aarhus/14m2-1-vaer-id-4977665
"Bredegade, 4200 Slagelse  - Stuen",5.500 kr.,700 kr.,50 m²,1,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"𝗟𝗶𝗱𝘁 𝗼𝗺 𝗹𝗲𝗷𝗹𝗶𝗴𝗵𝗲𝗱𝗲𝗻:
Den ligger i stueplan og er på 50 m2. Den super godt indrettet med alkove der gør, at lejligheden ligner en 2-værelses. 
Køkkenet er flot, grebsfrit og har alle hårde hvidevarer - også opvaskemaskine
På badeværelset kan du sagtens brede dig og har plads til opsætning af både vaskemaskine og tørretumbler (der er også adgang til fælles vaskeri i kælderen hvis det passer dig bedre).
Der er gulvvarme i hele lejligheden.

✔ Opvaskemaskine
✔ Eget kælderrum
✔ Plads til vaskemaskine og tumbler
✔ Gulvvarme


𝗟𝗶𝗱𝘁 𝗼𝗺 𝗯𝗲𝗹𝗶𝗴𝗴𝗲𝗻𝗵𝗲𝗱𝗲𝗻:
Beliggenheden er p-e-r-f-e-k-t til dig der ønsker at på tæt på alting.
Du kommer til at bo helt centralt. Indkøbsmuligheder, spisesteder, midtbyen, Slagelse station og uddannelsesmuligheder ligger alt sammen i gåafstand. 

𝗔𝗳𝘀𝘁𝗮𝗻𝗱𝗲
🛒 Indkøb: >100 m
🛍 Bymidte: >100 m
🚉 Station: 800 m



𝗟𝗶𝗱𝘁 𝗼𝗺 𝗱𝗶𝗻 𝘂𝗱𝗹𝗲𝗷𝗲𝗿:
Vi har 20 års erfaring med udlejning og så har vi egne viceværter og egen administration med kontor i Slagelse C. Vores lejere kan få fat på os via mail, telefon, Facebook og så er du også altid velkommen til at besøge os på kontoret.
𝗘𝗿 𝗱𝗲𝗻𝗻𝗲 𝗵𝗲𝗹𝘁 𝗻𝘆𝗲 𝗹𝗲𝗷𝗹𝗶𝗴𝗵𝗲𝗱 𝗻𝗼𝗴𝗲𝘁 𝗳𝗼𝗿 𝗱𝗶𝗴? 𝗞𝗼𝗻𝘁𝗮𝗸𝘁 𝗼𝘀 𝗼𝗴 𝗯𝗼𝗼𝗸 𝗲𝗻 𝗽𝗲𝗿𝘀𝗼𝗻𝗹𝗶𝗴 𝗳𝗿𝗲𝗺𝘃𝗶𝘀𝗻𝗶𝗻𝗴. 𝗩𝗶 𝘃𝗲𝗻𝗱𝗲𝗿 𝘁𝗶𝗹𝗯𝗮𝗴𝗲 𝗵𝘂𝗿𝘁𝗶𝗴𝘀𝘁 𝗺𝘂𝗹𝗶𝗴𝘁 𝗽𝗮̊ 𝗵𝘃𝗲𝗿𝗱𝗮𝗴𝗲 𝗶𝗻𝗱𝗲𝗻𝗳𝗼𝗿 𝗻𝗼𝗿𝗺𝗮𝗹 𝗮𝗿𝗯𝗲𝗷𝗱𝘀𝘁𝗶𝗱.

𝗕𝘂𝗱𝗴𝗲𝘁:
Husleje               kr.   5.500,00
A conto varme   kr.      400,00
A conto vand     kr.      300,00
I alt                     kr.   6.200,00 
Indskud              kr. 27.500,00",https://www.boligportal.dk/lejligheder/slagelse/50m2-1-vaer-id-4540921
